Epoch,Loss1,Loss2,TotalLoss
85,0.03562179487179488,0.05611025641025641,0.09173205128205128
86,0.035814102564102564,0.05789615384615385,0.0937102564102564
87,0.035833333333333335,0.05724871794871795,0.09308205128205128
88,0.03518333333333333,0.05513076923076923,0.09031410256410256
89,0.03577948717948718,0.05557051282051283,0.09135000000000001
90,0.03524487179487179,0.056179487179487175,0.09142435897435897
91,0.03541923076923077,0.05465769230769231,0.09007692307692308
92,0.035280769230769234,0.05287051282051282,0.08815128205128206
93,0.03566538461538461,0.054110256410256415,0.08977564102564103
94,0.0353525641025641,0.05467307692307692,0.09002564102564102
95,0.03506025641025641,0.0519576923076923,0.08701794871794871
96,0.03387051282051282,0.048843589743589745,0.08271410256410257
97,0.03469102564102564,0.050503846153846156,0.0851948717948718
98,0.034326923076923074,0.04948076923076923,0.0838076923076923
99,0.03418717948717948,0.04887179487179487,0.08305897435897436
100,0.033388461538461534,0.049287179487179485,0.08267564102564101
101,0.03396538461538461,0.047887179487179486,0.0818525641025641
102,0.03450897435897436,0.05000897435897436,0.08451794871794872
103,0.03355512820512821,0.047685897435897434,0.08124102564102564
104,0.03418076923076923,0.048674358974358976,0.0828551282051282
105,0.032994871794871795,0.047485897435897435,0.08048076923076923
106,0.03378461538461538,0.04851282051282051,0.08229743589743589
107,0.033984615384615384,0.04792051282051282,0.08190512820512821
108,0.0341525641025641,0.05063076923076923,0.08478333333333332
109,0.03383076923076923,0.04778076923076923,0.08161153846153846
110,0.03328589743589743,0.04753974358974359,0.08082564102564102
111,0.03295641025641026,0.04780512820512821,0.08076153846153847
112,0.03356025641025641,0.04888846153846154,0.08244871794871794
113,0.03383333333333333,0.047103846153846156,0.08093717948717949
114,0.033911538461538465,0.047893589743589746,0.08180512820512821
115,0.033855128205128204,0.04940769230769231,0.08326282051282052
116,0.03385454545454546,0.04782987012987013,0.08168441558441558
117,0.03326923076923077,0.04683076923076923,0.0801
118,0.033444871794871794,0.047698717948717946,0.08114358974358973
119,0.03374230769230769,0.04878717948717949,0.08252948717948719
120,0.0337525641025641,0.04754358974358974,0.08129615384615385
121,0.03329230769230769,0.04705769230769231,0.08035
122,0.033003846153846154,0.04572307692307692,0.07872692307692308
123,0.03259871794871795,0.04725897435897436,0.07985769230769231
124,0.03380769230769231,0.050973076923076927,0.08478076923076924
125,0.03386923076923077,0.048225641025641024,0.0820948717948718
126,0.03371025641025641,0.050155128205128206,0.08386538461538462
127,0.03399102564102564,0.04715128205128205,0.0811423076923077
128,0.03374230769230769,0.04727692307692308,0.08101923076923076
129,0.033223076923076925,0.047023076923076924,0.08024615384615386
130,0.03288461538461539,0.04602179487179487,0.07890641025641026
131,0.03406282051282051,0.04818589743589744,0.08224871794871795
132,0.03347692307692308,0.046671794871794875,0.08014871794871795
133,0.03399871794871795,0.048312820512820515,0.08231153846153846
134,0.03342179487179487,0.04756666666666667,0.08098846153846154
135,0.03344358974358974,0.045930769230769226,0.07937435897435896
136,0.03316794871794872,0.048152564102564105,0.08132051282051282
137,0.033336363636363636,0.04734415584415585,0.08068051948051949
138,0.03390384615384615,0.04891794871794872,0.08282179487179486
139,0.03346538461538462,0.04848717948717949,0.0819525641025641
140,0.03308846153846154,0.04918974358974359,0.08227820512820513
141,0.03379871794871795,0.047334615384615385,0.08113333333333334
142,0.03337692307692308,0.048630769230769234,0.08200769230769231
143,0.033087179487179486,0.0473025641025641,0.08038974358974359
144,0.03377692307692307,0.04701538461538461,0.08079230769230769
145,0.0339,0.04777948717948718,0.08167948717948717
146,0.033546153846153844,0.04633589743589744,0.07988205128205128
147,0.033262820512820514,0.04934615384615385,0.08260897435897437
148,0.03311923076923077,0.0482474358974359,0.08136666666666667
149,0.03353846153846154,0.04722820512820513,0.08076666666666667
150,0.033476623376623375,0.0466025974025974,0.08007922077922078
151,0.0334474358974359,0.05021025641025641,0.08365769230769231
152,0.034157692307692306,0.0478551282051282,0.08201282051282051
153,0.033102564102564104,0.05147435897435897,0.08457692307692308
154,0.03351025641025641,0.046652564102564104,0.0801628205128205
155,0.034293589743589745,0.048108974358974356,0.08240256410256411
156,0.03382337662337662,0.0467974025974026,0.08062077922077923
157,0.03362948717948718,0.04709615384615384,0.08072564102564103
158,0.03397692307692308,0.04845384615384615,0.08243076923076922
159,0.034043589743589744,0.04872435897435897,0.08276794871794871
160,0.03356153846153846,0.04780128205128205,0.08136282051282051
161,0.03399871794871795,0.047165384615384616,0.08116410256410256
162,0.03365128205128205,0.048297435897435896,0.08194871794871794
163,0.0338525641025641,0.04719230769230769,0.0810448717948718
164,0.033676923076923077,0.05043717948717948,0.08411410256410257
165,0.033602564102564104,0.04726025641025641,0.08086282051282051
166,0.03315769230769231,0.0469076923076923,0.08006538461538462
167,0.03346025641025641,0.04602564102564102,0.07948589743589743
168,0.03466923076923077,0.04850897435897436,0.08317820512820513
169,0.033751948051948054,0.048390909090909096,0.08214285714285716
170,0.03320641025641026,0.04702692307692308,0.08023333333333334
171,0.0332525641025641,0.04775897435897436,0.08101153846153847
172,0.03365384615384615,0.047198717948717946,0.0808525641025641
173,0.03434487179487179,0.051061538461538464,0.08540641025641026
174,0.033761038961038964,0.04682727272727273,0.0805883116883117
175,0.0340576923076923,0.04889487179487179,0.0829525641025641
176,0.0333025641025641,0.04730897435897436,0.08061153846153846
177,0.03367564102564102,0.05182692307692307,0.0855025641025641
178,0.03307307692307692,0.04682051282051282,0.07989358974358973
179,0.03325,0.0473974358974359,0.08064743589743589
180,0.03384487179487179,0.0479525641025641,0.08179743589743589
181,0.03397435897435897,0.04757948717948718,0.08155384615384614
182,0.03328846153846154,0.0461474358974359,0.07943589743589743
183,0.03286025641025641,0.04696666666666667,0.07982692307692307
184,0.033574358974358974,0.0478474358974359,0.08142179487179488
185,0.033152564102564105,0.04819615384615385,0.08134871794871795
186,0.033293589743589744,0.0465525641025641,0.07984615384615384
187,0.03412564102564102,0.0507,0.08482564102564102
188,0.03381153846153846,0.0478,0.08161153846153846
189,0.03278076923076923,0.04665769230769231,0.07943846153846154
190,0.03358333333333333,0.04796538461538461,0.08154871794871794
191,0.033105128205128204,0.0470948717948718,0.0802
192,0.03366153846153846,0.047876923076923074,0.08153846153846153
193,0.033605128205128204,0.04702179487179487,0.08062692307692307
194,0.03406153846153846,0.049716666666666666,0.08377820512820514
195,0.03327307692307692,0.04904230769230769,0.08231538461538461
196,0.03369615384615384,0.04692948717948718,0.08062564102564101
197,0.033207692307692306,0.047617948717948715,0.08082564102564102
198,0.033488461538461536,0.04717564102564103,0.08066410256410256
199,0.03331923076923077,0.046424358974358974,0.07974358974358975
200,0.033457692307692306,0.04651025641025641,0.07996794871794871
201,0.03376794871794872,0.04796923076923077,0.08173717948717948
202,0.033587179487179486,0.04729358974358974,0.08088076923076923
203,0.03368076923076923,0.047547435897435895,0.08122820512820512
204,0.033692307692307695,0.04694230769230769,0.08063461538461539
205,0.03343846153846154,0.0475,0.08093846153846154
206,0.03412051282051282,0.048602564102564104,0.08272307692307693
207,0.03392051282051282,0.04732179487179487,0.0812423076923077
208,0.03368076923076923,0.047489743589743595,0.08117051282051282
209,0.03448589743589744,0.05056923076923077,0.0850551282051282
210,0.03389358974358974,0.047887179487179486,0.08178076923076923
211,0.03318461538461538,0.0464474358974359,0.07963205128205128
212,0.03304871794871795,0.04685769230769231,0.07990641025641027
213,0.03421410256410256,0.04865769230769231,0.08287179487179487
214,0.03399102564102564,0.04723974358974359,0.08123076923076923
215,0.033666666666666664,0.04773205128205128,0.08139871794871795
216,0.033361538461538456,0.04767564102564103,0.08103717948717948
217,0.033694871794871795,0.04847051282051282,0.08216538461538461
218,0.03487948717948718,0.050212820512820514,0.08509230769230769
219,0.03320384615384615,0.047266666666666665,0.08047051282051282
220,0.03376923076923077,0.04812179487179487,0.08189102564102563
221,0.03392179487179487,0.04840897435897436,0.08233076923076924
222,0.033644155844155844,0.047666233766233766,0.08131038961038961
223,0.0337551282051282,0.04848974358974359,0.08224487179487179
224,0.03333589743589744,0.04713333333333333,0.08046923076923077
225,0.034383333333333335,0.04807435897435897,0.08245769230769232
226,0.034037179487179485,0.048044871794871796,0.08208205128205129
227,0.033646153846153846,0.04952307692307693,0.08316923076923077
228,0.033778205128205126,0.046803846153846154,0.08058205128205129
229,0.03344102564102564,0.04786923076923077,0.08131025641025641
230,0.0335,0.04765641025641026,0.08115641025641027
231,0.03256923076923077,0.04655512820512821,0.07912435897435897
232,0.034003846153846155,0.04824615384615384,0.08224999999999999
233,0.033879487179487175,0.04805641025641026,0.08193589743589744
234,0.03356410256410256,0.04740384615384615,0.08096794871794871
235,0.03302948717948718,0.047016666666666665,0.08004615384615385
236,0.03399615384615384,0.04797820512820513,0.08197435897435898
237,0.03370897435897436,0.04815,0.08185897435897435
238,0.03392564102564102,0.04835769230769231,0.08228333333333333
239,0.03387179487179487,0.04795384615384616,0.08182564102564102
240,0.03391025641025641,0.0478474358974359,0.08175769230769231
241,0.03356410256410256,0.048346153846153844,0.0819102564102564
242,0.03334871794871795,0.04675641025641026,0.08010512820512822
243,0.03379102564102564,0.048435897435897435,0.08222692307692307
244,0.0330525641025641,0.04644102564102564,0.07949358974358975
245,0.033682051282051276,0.04696794871794872,0.08065
246,0.03374871794871795,0.048374358974358975,0.08212307692307692
247,0.03432820512820513,0.05088461538461538,0.0852128205128205
248,0.034605128205128205,0.04849358974358975,0.08309871794871795
249,0.0343012987012987,0.04803766233766234,0.08233896103896104
250,0.03388717948717949,0.04889102564102564,0.08277820512820513
